Days,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,,,,,,,,,,
Slots,9:00-10:30,10:35-12:05,12:05-13:40,14:10-15:40,15:45-17:15,17:20-18:50,18:55-20:25,20:30-22:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Lecture aud,105,106,107,108,,,,,,,,,,,,,,,,
Tutorial aud,105,106,107,108,,,,,,,,,,,,,,,,
Lab aud,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,,
,,,,,,,,,,,,,,,,,,,,
Instructors,Joseph Brown,Hamna Aslam,Nikita Lozhnikov,Evgenii Bobrov,Ivan Dmitriev,Alexandr Borisov,Vladislav Dmitriyev,Alexey Kanatov,Luiz Araújo,Nikita Zhuchkov,Sergey Gorodetskiy,Rustam Gafarov,Alexey Karachev,Pavel Khakimov,Alexander Tormasov,Giancarlo Succi,Muhammad Fahim,Nikita Bogomazov,Adam Zubair,Artem Burmyakov
Bad days,Wednesday,,,Thursday,,,,Monday,,,Saturday,,,,Saturday; Monday,,,,,
Bad slots,,,,20:30-22:00,,,,18:55-20:25,,,20:30-22:00,,,,15:45-17:15; 17:20-18:50,,,,,
,,,,,,,,,,,,,,,,,,,,
Spec,BS2,,,,,,,,,,,,,,,,,,,
Groups,B17-01; B17-02; B17-03; B17-05; B17-06; B17-07; B17-08,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Courses,Introduction to AI,Data Modeling and Databases 2,Software Project,Probability and Statistics,Networks,,,,,,,,,,,,,,,
C Lectures,1,1,1,1,1,,,,,,,,,,,,,,,
C Tutorials,1,1,0,1,1,,,,,,,,,,,,,,,
C Labs,1,1,2,1,1,,,,,,,,,,,,,,,
C Lecture Ins,Joseph Brown,Alexey Kanatov,Evgenii Bobrov,Sergey Gorodetskiy,Alexander Tormasov; Giancarlo Succi,,,,,,,,,,,,,,,
C Tutorial Ins,Hamna Aslam,Luiz Araújo,,Rustam Gafarov,Muhammad Fahim,,,,,,,,,,,,,,,
C Lab Ins,Hamna Aslam; Nikita Lozhnikov,Luiz Araújo; Nikita Zhuchkov,Ivan Dmitriev; Alexandr Borisov; Vladislav Dmitriyev,Rustam Gafarov; Alexey Karachev; Pavel Khakimov,Nikita Bogomazov; Adam Zubair; Artem Burmyakov,,,,,,,,,,,,,,,
C Spec,BS2,BS2,BS2,BS2,BS2,,,,,,,,,,,,,,,
